Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T023_001,SE_T038_001,SE_T045_001,SE_T046_001,SE_T046_002,SE_T046_003,SE_T046_004,SE_T046_005,SE_T051_001,SE_T051_002,SE_T051_003
"D0007","7","140","42045D0070000","42","045",5939,5939,5918,20,1,48270,1681,1704,1704,1679,25,18,7,1679,1299,380
"D0008","8","140","42045D0080000","42","045",4745,4745,4736,8,1,44710,1452,1484,1484,1451,33,23,10,1451,1146,305
"D0009","9","140","42045D0090000","42","045",1693,1693,1679,14,0,76430,481,490,490,482,8,8,0,482,458,24
"D0010","10","140","42045D0100000","42","045",2855,2855,2848,6,1,47500,841,853,853,843,10,6,4,843,654,189
"D0011","11","140","42045D0110000","42","045",10062,10062,10048,14,0,46550,2929,3155,3155,2935,220,205,15,2935,2628,307
"D0012","12","140","42045D0120000","42","045",3748,3748,3745,2,1,52930,1095,1158,1158,1109,49,35,14,1109,860,249
"D0013","13","140","42045D0130000","42","045",6291,6291,6290,0,1,51800,2041,2233,2233,2051,182,136,46,2051,773,1278
"D0014","14","140","42045D0140000","42","045",6425,6425,6418,4,3,42770,1755,1801,1801,1767,34,29,5,1767,1513,254
"D0015","15","140","42045D0150000","42","045",4918,4918,4909,9,0,41470,1367,1428,1428,1364,64,47,17,1364,1295,69
"D0016","16","140","42045D0160000","42","045",1056,1056,1054,1,1,0,265,272,272,262,10,9,1,262,250,12
"D0017","17","140","42045D0170000","42","045",3527,3527,3516,4,7,33500,975,990,990,979,11,8,3,979,682,297
"D0018","18","140","42045D0180000","42","045",4470,4470,4458,8,4,46090,1373,1387,1387,1377,10,6,4,1377,976,401
"D0019","19","140","42045D0190000","42","045",5005,5005,4995,9,1,49110,1556,1572,1572,1557,15,9,6,1557,1159,398
"D0020","20","140","42045D0200000","42","045",2694,2694,2443,251,0,40250,838,851,851,840,11,2,9,840,467,373
"D0021","21","140","42045D0210000","42","045",7296,7296,7291,4,1,44610,2045,2066,2066,2036,30,13,17,2036,1722,314
"D0022","22","140","42045D0220000","42","045",2240,2240,1598,642,0,33570,592,596,596,592,4,1,3,592,513,79
"D0023","23","140","42045D0230000","42","045",1532,1532,1531,1,0,0,430,436,436,429,7,1,6,429,404,25
"D0024","24","140","42045D0240000","42","045",4344,4344,4337,5,2,33950,1227,1242,1242,1222,20,12,8,1222,833,389
"D0025","25","140","42045D0250000","42","045",4869,4869,3028,1836,5,27210,1326,1328,1328,1318,10,3,7,1318,887,431
"D0026","26","140","42045D0260000","42","045",3941,3941,3934,7,0,36740,1019,1037,1037,1023,14,0,14,1023,949,74
"D0027","27","140","42045D0270000","42","045",2143,2143,2126,17,0,33270,577,598,598,572,26,1,25,572,420,152
"D0028","28","140","42045D0280000","42","045",5464,5464,5440,24,0,41710,1505,1533,1533,1510,23,7,16,1510,1152,358
"D0029","29","140","42045D0290000","42","045",2539,2539,271,2268,0,7290,579,590,590,580,10,0,10,580,328,252
"D0030","30","140","42045D0300000","42","045",915,915,480,433,2,0,220,230,230,220,10,1,9,220,149,71
"D0031","31","140","42045D0310000","42","045",8443,8443,8435,6,2,35520,2367,2414,2414,2361,53,17,36,2361,1747,614
"D0032","32","140","42045D0320000","42","045",3430,3430,3430,0,0,43440,1004,1015,1015,998,17,4,13,998,833,165
"D0033","33","140","42045D0330000","42","045",7549,7549,7546,2,1,39130,1937,1970,1970,1939,31,11,20,1939,1601,338
"D0034","34","140","42045D0340000","42","045",1909,1909,1892,16,1,0,529,543,543,536,7,2,5,536,379,157
"D0035","35","140","42045D0350000","42","045",6450,6450,6446,3,1,39130,1786,1817,1817,1790,27,15,12,1790,1230,560
"D0036","36","140","42045D0360000","42","045",5246,5246,5211,33,2,37620,1548,1579,1579,1555,24,11,13,1555,934,621
"D0037","37","140","42045D0370000","42","045",5314,5314,5308,2,4,33370,1335,1365,1365,1345,20,8,12,1345,803,542
"D0038","38","140","42045D0380000","42","045",5834,5834,5728,104,2,40170,1762,1790,1790,1772,18,10,8,1772,1312,460
"D0039","39","140","42045D0390000","42","045",4921,4921,4909,10,2,43150,1502,1545,1545,1505,40,25,15,1505,1008,497
"D0040","40","140","42045D0400000","42","045",7212,7212,7141,67,4,40060,1985,1996,1996,1958,38,19,19,1958,1694,264
"D0041","41","140","42045D0410000","42","045",10000,10000,9554,441,5,37660,2691,2723,2723,2689,34,20,14,2689,1518,1171
