Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"32A","32-A","140","4210103201000","42","101",7437,7437,2802,4548,87,2656,2656,2315,341,334,7,2315,222,2093
"32B","32-B","140","4210103202000","42","101",2301,2301,1863,420,18,960,960,858,102,89,13,858,123,735
"32C","32-C","140","4210103203000","42","101",10846,10846,5198,5646,2,3837,3837,3479,358,348,10,3479,558,2921
"32D","32-D","140","4210103204000","42","101",14170,14170,1486,12678,6,4027,4027,3780,247,243,4,3780,518,3262
"32E","32-E","140","4210103205000","42","101",15297,15297,13608,1683,6,4423,4423,4154,269,269,0,4154,1249,2905
"32F","32-F","140","4210103206000","42","101",11,11,11,0,0,3,3,3,0,0,0,3,0,3
"33A","33-A","140","4210103301000","42","101",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33B","33-B","140","4210103302000","42","101",7429,7429,7372,46,11,2110,2110,2047,63,62,1,2047,814,1233
"33C","33-C","140","4210103303000","42","101",2234,2234,2234,0,0,643,643,616,27,26,1,616,303,313
"33D","33-D","140","4210103304000","42","101",184,184,184,0,0,45,45,43,2,2,0,43,29,14
"33E","33-E","140","4210103305000","42","101",552,552,503,49,0,43,43,43,0,0,0,43,22,21
"33F","33-F","140","4210103306000","42","101",3290,3290,3267,23,0,921,921,908,13,13,0,908,403,505
"33G","33-G","140","4210103307000","42","101",12114,12114,12091,13,10,3277,3277,3218,59,55,4,3218,1496,1722
"33H","33-H","140","4210103308000","42","101",9230,9230,9228,0,2,2466,2466,2423,43,37,6,2423,1177,1246
"33I","33-I","140","4210103309000","42","101",15431,15431,15407,1,23,4238,4238,4136,102,101,1,4136,1746,2390
"33J","33-J","140","4210103310000","42","101",13703,13703,13701,0,2,3789,3789,3700,89,85,4,3700,1488,2212
"33K","33-K","140","4210103311000","42","101",2622,2622,2620,0,2,773,773,749,24,22,2,749,230,519
"34A","34-A","140","4210103401000","42","101",2167,2167,2133,33,1,517,517,451,66,66,0,451,221,230
